;Restaurant;Avis;type_cuisine;fourchette_prix;link;type_cuisine_1;type_cuisine_2;restaurants;note;localisation;lat;lon
0;Annonce de :;349 avis;Japonaise, Asiatique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d6581788-Reviews-Un_Soir_a_Shibuya-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Japonaise; Asiatique;Annonce de :;4.5;[44.8412142, -0.5726546];44.8412142;-0.5726546
1;1. Son' Restaurant;756 avis;Française, Européenne;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d16695637-Reviews-Son_Restaurant-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;1. Son' Restaurant;5.0;[44.8345845, -0.5753745];44.8345845;-0.5753745
2;2. BLISSS;1 503 avis;Française, Moderne;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g207338-d10150117-Reviews-BLISSS-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Moderne;2. BLISSS;5.0;[44.8568622, -0.6583235];44.8568622;-0.6583235
3;3. Restaurant Epicentre;90 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d9581540-Reviews-Restaurant_Epicentre-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;3. Restaurant Epicentre;5.0;[44.8414065, -0.5736823];44.8414065;-0.5736823
4;4. Restaurant Arcada Bordeaux;406 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17393615-Reviews-Arcada-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;4. Restaurant Arcada Bordeaux;5.0;[44.8376112, -0.5690493];44.8376112;-0.5690493
5;5. Restaurant Loco By Jem’s Bordeaux;288 avis;Française, Brasserie gastronomique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d15198718-Reviews-Loco_By_Jem_s-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Brasserie gastronomique;5. Restaurant Loco By Jem’s Bordeaux;5.0;[44.8316881, -0.5977827];44.8316881;-0.5977827
6;6. Restaurant La Fine Bouche Bordeaux;145 avis;Française, Saine;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d21010016-Reviews-La_Fine_Bouche-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;6. Restaurant La Fine Bouche Bordeaux;5.0;[44.8361157, -0.5769525];44.8361157;-0.5769525
7;7. Suzzi;283 avis;Saine, Suédoise;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17451727-Reviews-Suzzi-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Saine; Suédoise;7. Suzzi;5.0;[44.8386126, -0.5769637];44.8386126;-0.5769637
8;9. Restaurant Le Chicoula Bordeaux;440 avis;Française, Saine;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d14048571-Reviews-Le_Chicoula-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;9. Restaurant Le Chicoula Bordeaux;5.0;[44.8348514, -0.5768052];44.8348514;-0.5768052
9;10. Le 428;160 avis;Française, Européenne;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d13220792-Reviews-Le_428-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;10. Le 428;5.0;[44.8352404, -0.5783466];44.8352404;-0.5783466
10;11. Lume;511 avis;Italienne, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8605957-Reviews-Lume-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Méditerranéenne;11. Lume;5.0;[44.8407175, -0.5704577];44.8407175;-0.5704577
11;13. Tupaq;137 avis;Péruvienne, Latino;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19454717-Reviews-Tupaq-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Péruvienne; Latino;13. Tupaq;5.0;[44.835641, -0.5720267];44.835641;-0.5720267
12;14. Porte Quinze;267 avis;Française;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d13149369-Reviews-Porte_Quinze-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;14. Porte Quinze;5.0;[44.8400346, -0.569659];44.8400346;-0.569659
13;15. Restaurant Le Petit Atelier des Faures Bordeaux;371 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12516577-Reviews-Le_Petit_Atelier_des_Faures-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;15. Restaurant Le Petit Atelier des Faures Bordeaux;5.0;[44.8349868, -0.5667034];44.8349868;-0.5667034
14;16. Restaurant Soléna Bordeaux;416 avis;Française;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2051513-Reviews-Solena-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;16. Restaurant Soléna Bordeaux;5.0;[44.8404816, -0.5903458];44.8404816;-0.5903458
15;17. Pizzeria Filippo;268 avis;Italienne, Française;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12964833-Reviews-Pizzeria_Filippo-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Française;17. Pizzeria Filippo;5.0;[44.8329841, -0.5632188];44.8329841;-0.5632188
16;18. Restaurant Melodie Bordeaux;2 977 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1325436-Reviews-Restaurant_Melodie-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;18. Restaurant Melodie Bordeaux;4.5;[44.840599, -0.5704046];44.840599;-0.5704046
17;19. Chai Les Copains;750 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7131911-Reviews-Chai_Les_Copains-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;19. Chai Les Copains;4.5;[44.8568355, -0.5617765];44.8568355;-0.5617765
18;20. Le Bistrot des Anges Bordeaux;652 avis;Bar, Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1063780-Reviews-Le_Bistrot_des_Anges-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Bar; Française;20. Le Bistrot des Anges Bordeaux;4.5;[44.8526193, -0.5725226];44.8526193;-0.5725226
19;21. ANETO Bistrot;210 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d4060311-Reviews-ANETO_Bistrot-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;21. ANETO Bistrot;4.5;[44.8402071, -0.5852021];44.8402071;-0.5852021
20;22. Restaurant Influences Bordeaux;536 avis;Française, Européenne;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d10373406-Reviews-Restaurant_Influences-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;22. Restaurant Influences Bordeaux;5.0;[44.8407096, -0.5822631];44.8407096;-0.5822631
21;23. O p'tit bahut Bordeaux;700 avis;Française, Bar à vins;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d10500850-Reviews-O_p_tit_bahut_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar à vins;23. O p'tit bahut Bordeaux;5.0;[44.8393219, -0.5705611];44.8393219;-0.5705611
